Variable name,Variable (VAR) Label,VAR type,VAR length,Range of values,Value Description,Notes
PUBLICID,Participant Identification Number,Char,14,ID, ,Public use identifier assigned by NCHS.
,,,,,,"Researchers linking to NHIS public use files (PUF) should use PUBLICID. To merge the NHIS PUF with the Linked NCHS-CMS Medicare NHIS PUF with the Linked NCHS-CMS Medicare Feasibility File, please see notes in the analytic considerations. "
SEQN,Sample Sequence Number,Num,8,ID, ,"Public use identifier assigned by NCHS. Researchers linking to NHANES III, and 1999-2018 NHANES should use SEQN."
RESNUM,Resident Record (Case) Number,Num,8,ID, ,Public use identifier assigned by NCHS. Researchers linking to the 2004 NNHS should use RESNUM.
MEDICARE_MATCH_1418,CMS Medicare Match Status,Num,8,1,Linkage-eligible and linked to one or more years of CMS Medicare administrative data,CMS Medicare Match Status (2014-2018)
,,,,2,Linkage-eligible and not linked to any year of the CMS Medicare administrative data, 
,,,,9,Ineligible for CMS linkage or under age 18, 
ON_MBSF_YYYY,On Master Beneficiary Summary File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the MBSF file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage years 2014-2018
,,,,1,Linkage-eligible and has data on the MBSF file for a specific year (YYYY), 
ON_MEDPAR_YYYY,On Medicare Provider Analysis and Review (MedPAR) File,Num,8,0,"Linkage-eligible, but does not have data on the MEDPAR file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage years 2016-2018
,,,,1,Linkage-eligible and has data on the MEDPAR file for a specific year (YYYY), 
ON_PARTD_PDE_YYYY,On Part D Prescription Drug Event (PDE) File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the PARTD_PDE file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage years 2016-2018
,,,,1,Linkage-eligible and has data on the PARTD_PDE file for a specific year (YYYY), 
ON_CARRIER_FFS_YYYY,On Professional (Carrier) Fee-for-Service File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the CARRIER_FFS file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage years 2016-2018
,,,,1,Linkage-eligible and has data on the CARRIER_FFS file for a specific year (YYYY), 
