varname,description
PUBLICID,PUBLIC USE ID
RESNUM,RESIDENT ID NUMBER (PUBLIC)
SEQN,SAMPLE SEQUENCE NUMBER (PUBLIC ID)
SURVEY,SURVEY NAME AND SURVEY YEAR/CYCLE
FILE_YEAR4,Year of Part D event (YYYY)
BENE_ENROLLMT_REF_YR,Reference Year
COVSTART,Medicare Coverage Start Date
CRNT_BIC_CD,Current Beneficiary Identification Code
STATE_CODE,State code for beneficiary (SSA code)
COUNTY_CD,County code for beneficiary (SSA code)
ZIP_CD,5-digit ZIP code for beneficiary
STATE_CNTY_FIPS_CD_01,State and county FIPS code - January
STATE_CNTY_FIPS_CD_02,State and county FIPS code - February
STATE_CNTY_FIPS_CD_03,State and county FIPS code - March
STATE_CNTY_FIPS_CD_04,State and county FIPS code - April
STATE_CNTY_FIPS_CD_05,State and county FIPS code - May
STATE_CNTY_FIPS_CD_06,State and county FIPS code - June
STATE_CNTY_FIPS_CD_07,State and county FIPS code - July
STATE_CNTY_FIPS_CD_08,State and county FIPS code - August
STATE_CNTY_FIPS_CD_09,State and county FIPS code - September
STATE_CNTY_FIPS_CD_10,State and county FIPS code - October
STATE_CNTY_FIPS_CD_11,State and county FIPS code - November
STATE_CNTY_FIPS_CD_12,State and county FIPS code - December
AGE_AT_END_REF_YR,Age of beneficiary at end of year
BENE_BIRTH_DT,Beneficiary date of birth
VALID_DEATH_DT_SW,Valid Date of Death Switch
BENE_DEATH_DT,Date of Death
SEX_IDENT_CD,Sex
BENE_RACE_CD,Beneficiary Race Code
RTI_RACE_CD,Research Triangle Institute (RTI) Race Code
ENTLMT_RSN_ORIG,Original Reason for Entitlement Code
ENTLMT_RSN_CURR,Current Reason for Entitlement Code
ESRD_IND,End-stage Renal Disease (ESRD) Indicator
MDCR_STATUS_CODE_01,Medicare Status Code - January
MDCR_STATUS_CODE_02,Medicare Status Code - February
MDCR_STATUS_CODE_03,Medicare Status Code - March
MDCR_STATUS_CODE_04,Medicare Status Code - April
MDCR_STATUS_CODE_05,Medicare Status Code - May
MDCR_STATUS_CODE_06,Medicare Status Code - June
MDCR_STATUS_CODE_07,Medicare Status Code - July
MDCR_STATUS_CODE_08,Medicare Status Code - August
MDCR_STATUS_CODE_09,Medicare Status Code - September
MDCR_STATUS_CODE_10,Medicare Status Code - October
MDCR_STATUS_CODE_11,Medicare Status Code - November
MDCR_STATUS_CODE_12,Medicare Status Code - December
BENE_PTA_TRMNTN_CD,Part A Termination Code
BENE_PTB_TRMNTN_CD,Part B Termination Code
BENE_HI_CVRAGE_TOT_MONS,Part A Months Count
BENE_SMI_CVRAGE_TOT_MONS,Part B Months Count
BENE_STATE_BUYIN_TOT_MONS,State Buy-In Coverage Count
BENE_HMO_CVRAGE_TOT_MONS,HMO Coverage Count
PTD_PLAN_CVRG_MONS,Months of Part D Coverage
RDS_CVRG_MONS,Months of Retiree Drug Subsidy Coverage
DUAL_ELGBL_MONS,Months of Dual Eligibility
MDCR_ENTLMT_BUYIN_IND_01,Medicare Entitlement/Buy-In Indicator - January
MDCR_ENTLMT_BUYIN_IND_02,Medicare  Entitlement/Buy-In Indicator - February
MDCR_ENTLMT_BUYIN_IND_03,Medicare  Entitlement/Buy-In Indicator - March
MDCR_ENTLMT_BUYIN_IND_04,Medicare  Entitlement/Buy-In Indicator - April
MDCR_ENTLMT_BUYIN_IND_05,Medicare  Entitlement/Buy-In Indicator - May
MDCR_ENTLMT_BUYIN_IND_06,Medicare  Entitlement/Buy-In Indicator - June
MDCR_ENTLMT_BUYIN_IND_07,Medicare  Entitlement/Buy-In Indicator - July
MDCR_ENTLMT_BUYIN_IND_08,Medicare  Entitlement/Buy-In Indicator - August
MDCR_ENTLMT_BUYIN_IND_09,Medicare  Entitlement/Buy-In Indicator - September
MDCR_ENTLMT_BUYIN_IND_10,Medicare  Entitlement/Buy-In Indicator - October
MDCR_ENTLMT_BUYIN_IND_11,Medicare  Entitlement/Buy-In Indicator - November
MDCR_ENTLMT_BUYIN_IND_12,Medicare  Entitlement/Buy-In Indicator - December
HMO_IND_01,HMO Indicator - January
HMO_IND_02,HMO Indicator - February
HMO_IND_03,HMO Indicator - March
HMO_IND_04,HMO Indicator - April
